Group,Title,Member 1,Email 1,Member 2,Email 2,Member 3,Email 3
1,Project title 1,FirstLast1,firstlast@...edu1,FirstLast25,firstlast@...edu25,FirstLast49,firstlast@...edu49
2,Project title 2,FirstLast2,firstlast@...edu2,FirstLast26,firstlast@...edu26,FirstLast50,firstlast@...edu50
3,Project title 3,FirstLast3,firstlast@...edu3,FirstLast27,firstlast@...edu27,FirstLast51,firstlast@...edu51
4,Project title 4,FirstLast4,firstlast@...edu4,FirstLast28,firstlast@...edu28,FirstLast52,firstlast@...edu52
5,Project title 5,FirstLast5,firstlast@...edu5,FirstLast29,firstlast@...edu29,FirstLast53,firstlast@...edu53
6,Project title 6,FirstLast6,firstlast@...edu6,FirstLast30,firstlast@...edu30,FirstLast54,firstlast@...edu54
7,Project title 7,FirstLast7,firstlast@...edu7,FirstLast31,firstlast@...edu31,FirstLast55,firstlast@...edu55
8,Project title 8,FirstLast8,firstlast@...edu8,FirstLast32,firstlast@...edu32,FirstLast56,firstlast@...edu56
9,Project title 9,FirstLast9,firstlast@...edu9,FirstLast33,firstlast@...edu33,FirstLast57,firstlast@...edu57
10,Project title 10,FirstLast10,firstlast@...edu10,FirstLast34,firstlast@...edu34,FirstLast58,firstlast@...edu58
11,Project title 11,FirstLast11,firstlast@...edu11,FirstLast35,firstlast@...edu35,FirstLast59,firstlast@...edu59
12,Project title 12,FirstLast12,firstlast@...edu12,FirstLast36,firstlast@...edu36,FirstLast60,firstlast@...edu60
13,Project title 13,FirstLast13,firstlast@...edu13,FirstLast37,firstlast@...edu37,FirstLast61,firstlast@...edu61
14,Project title 14,FirstLast14,firstlast@...edu14,FirstLast38,firstlast@...edu38,FirstLast62,firstlast@...edu62
15,Project title 15,FirstLast15,firstlast@...edu15,FirstLast39,firstlast@...edu39,FirstLast63,firstlast@...edu63
16,Project title 16,FirstLast16,firstlast@...edu16,FirstLast40,firstlast@...edu40,FirstLast64,firstlast@...edu64
17,Project title 17,FirstLast17,firstlast@...edu17,FirstLast41,firstlast@...edu41,FirstLast65,firstlast@...edu65
18,Project title 18,FirstLast18,firstlast@...edu18,FirstLast42,firstlast@...edu42,FirstLast66,firstlast@...edu66
19,Project title 19,FirstLast19,firstlast@...edu19,FirstLast43,firstlast@...edu43,FirstLast67,firstlast@...edu67
20,Project title 20,FirstLast20,firstlast@...edu20,FirstLast44,firstlast@...edu44,FirstLast68,firstlast@...edu68
21,Project title 21,FirstLast21,firstlast@...edu21,FirstLast45,firstlast@...edu45,FirstLast69,firstlast@...edu69
22,Project title 22,FirstLast22,firstlast@...edu22,FirstLast46,firstlast@...edu46,FirstLast70,firstlast@...edu70
23,Project title 23,FirstLast23,firstlast@...edu23,FirstLast47,firstlast@...edu47,FirstLast71,firstlast@...edu71
24,Project title 24,FirstLast24,firstlast@...edu24,FirstLast48,firstlast@...edu48,FirstLast72,firstlast@...edu72
